name,llama (Llama-3.2-3B),lora (checkpoint_best.pt),delta_l2,baseline_l2,updated_l2,relative_delta,cosine_similarity,max_abs_delta,delta_l1,delta_density,numel,dtype,shape,lora_rank,lora_alpha,lora_scale,lora_up,lora_down,message
model.layers.5.self_attn.q_proj.weight,model.layers.5.self_attn.q_proj.weight,llama.model.layers.5.self_attn.q_proj,4.754163675702724,77.79670405141317,77.93979262908638,0.061110091149373894,0.9981378947243567,0.03337055444717407,10567.994852158738,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.5.self_attn.q_proj.lora_B.default.weight,llama.model.layers.5.self_attn.q_proj.lora_A.default.weight,
model.layers.6.self_attn.q_proj.weight,model.layers.6.self_attn.q_proj.weight,llama.model.layers.6.self_attn.q_proj,4.731394389470216,78.83185450062669,78.97011127148599,0.060018813707250825,0.9982035595709835,0.024096284061670303,10697.342620667436,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.6.self_attn.q_proj.lora_B.default.weight,llama.model.layers.6.self_attn.q_proj.lora_A.default.weight,
model.layers.8.self_attn.q_proj.weight,model.layers.8.self_attn.q_proj.weight,llama.model.layers.8.self_attn.q_proj,4.7190620211599885,76.09404245543087,76.24163618486224,0.06201618246164273,0.9980825966634536,0.0264882892370224,10480.68237205525,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.8.self_attn.q_proj.lora_B.default.weight,llama.model.layers.8.self_attn.q_proj.lora_A.default.weight,
model.layers.16.self_attn.o_proj.weight,model.layers.16.self_attn.o_proj.weight,llama.model.layers.16.self_attn.o_proj,4.667763013667385,47.831639880234924,48.051267493730954,0.09758735066067026,0.9952706120996692,0.017149709165096283,11067.488120010185,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.16.self_attn.o_proj.lora_B.default.weight,llama.model.layers.16.self_attn.o_proj.lora_A.default.weight,
model.layers.1.self_attn.k_proj.weight,model.layers.1.self_attn.k_proj.weight,llama.model.layers.1.self_attn.k_proj,4.649807938719265,65.32946194427409,65.5216132947049,0.07117474720189097,0.9974788186702485,0.047233108431100845,5513.223049407321,1.0,3145728,torch.float32,"(1024, 3072)",16,16.0,1.0,llama.model.layers.1.self_attn.k_proj.lora_B.default.weight,llama.model.layers.1.self_attn.k_proj.lora_A.default.weight,
model.layers.11.self_attn.q_proj.weight,model.layers.11.self_attn.q_proj.weight,llama.model.layers.11.self_attn.q_proj,4.613432431092679,74.21139899887831,74.34896258470023,0.06216608894763472,0.998072978807312,0.03020685724914074,10200.443071199177,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.11.self_attn.q_proj.lora_B.default.weight,llama.model.layers.11.self_attn.q_proj.lora_A.default.weight,
model.layers.12.self_attn.q_proj.weight,model.layers.12.self_attn.q_proj.weight,llama.model.layers.12.self_attn.q_proj,4.599776494066189,75.15546549649285,75.29835897359575,0.061203486182662775,0.9981324249504165,0.0193362794816494,10327.343276070762,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.12.self_attn.q_proj.lora_B.default.weight,llama.model.layers.12.self_attn.q_proj.lora_A.default.weight,
model.layers.10.self_attn.q_proj.weight,model.layers.10.self_attn.q_proj.weight,llama.model.layers.10.self_attn.q_proj,4.411605590293643,74.28353704225647,74.41425545950877,0.05938873895819049,0.9982411322735012,0.021887119859457016,10003.946612034504,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.10.self_attn.q_proj.lora_B.default.weight,llama.model.layers.10.self_attn.q_proj.lora_A.default.weight,
model.layers.9.self_attn.q_proj.weight,model.layers.9.self_attn.q_proj.weight,llama.model.layers.9.self_attn.q_proj,4.131941119555085,75.5783846332104,75.68940183881426,0.05467093719464654,0.9985088135550629,0.017026511952280998,9426.7165693964,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.9.self_attn.q_proj.lora_B.default.weight,llama.model.layers.9.self_attn.q_proj.lora_A.default.weight,
model.layers.24.self_attn.k_proj.weight,model.layers.24.self_attn.k_proj.weight,llama.model.layers.24.self_attn.k_proj,4.1095573750735594,48.82022111722403,48.99046727080882,0.08417736095881151,0.9964754570590684,0.02672562561929226,5217.808469410048,1.0,3145728,torch.float32,"(1024, 3072)",16,16.0,1.0,llama.model.layers.24.self_attn.k_proj.lora_B.default.weight,llama.model.layers.24.self_attn.k_proj.lora_A.default.weight,
